symbol,price_min,price_max,price_avg,price_variance,trade_count,total_volume,price_first,price_last,price_stddev,window_start,window_end,window_start_str,window_end_str
AVAXUSDT,9.4,9.4,9.4,,1,58.9,9.4,9.4,,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
SOLUSDT,86.32,86.35,86.33816326530612,9.14369871660327E-5,98,250.82600000000025,86.35,86.32,0.009562268933994311,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
ADAUSDT,0.2493,0.2493,0.2493,0.0,5,568.4,0.2493,0.2493,0.0,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
SOLUSDT,86.26,86.29,86.27709677419367,6.028556319393937E-5,62,141.41099999999997,86.29,86.26,0.0077643778368868275,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
ADAUSDT,0.2492,0.2492,0.24920000000000006,0.0,12,40045.100000000006,0.2492,0.2492,0.0,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
BTCUSDT,76335.37,76338.63,76337.61447552455,2.2078009553401623,143,0.6527000000000006,76338.63,76335.38,1.4858670718944418,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
ETHUSDT,2323.43,2323.62,2323.5698245614017,0.0019451016922699333,114,3.272400000000008,2323.61,2323.43,0.04410330704459625,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
XRPUSDT,1.4297,1.4298,1.42978,1.9999999999990046E-9,5,1139.6,1.4298,1.4298,4.472135954998466E-5,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
XRPUSDT,1.4297,1.4298,1.4297100000000003,9.999999999997798E-10,10,1544.8,1.4297,1.4298,3.162277660168031E-5,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
BTCUSDT,76338.62,76338.63,76338.62333333334,2.5000000046089724E-5,9,0.05403,76338.62,76338.62,0.005000000004608972,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
