symbol,window_start,window_end,price_min,price_max,price_avg,price_variance,trade_count,total_volume,pct_return,volatility,volume_intensity,price_speed,prediction,distance_to_centroid,label,label_binary,window_start_str,window_end_str
BTCUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,76288.31,76302.0,76293.6677540107,12.710448025259703,374,1.1670200000000022,1.794508228063032E-4,4.6729586256922016E-5,0.003120374331550808,1.794382207989031E-4,0,0.8110101817702023,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
XRPUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,1.4291,1.4292,1.42912,1.7777777777721899E-9,10,315.2,-6.996921354603203E-5,2.9503262242157503E-5,31.52,6.99731303179502E-5,0,0.5052675372969715,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
ETHUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2322.11,2322.14,2322.122830188678,7.068214804326374E-5,53,0.8965,-1.2919117710278168E-5,3.6205094164945924E-6,0.01691509433962264,1.291921323442988E-5,0,0.8215960775456578,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
AVAXUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,9.4,9.4,9.400000000000004,0.0,27,1404.0599999999995,0.0,0.0,52.0022222222222,0.0,0,0.8873563607418944,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
DOGEUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,0.09499,0.095,0.09499124999999999,1.1413043478255486E-11,24,81355.0,1.0527423939357957E-4,3.5564534875160446E-5,3389.7916666666665,1.0527285407862434E-4,2,1.5228052536233643,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
DOGEUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,0.09496,0.09499,0.09497633333333341,1.1175141242945311E-10,60,8257.0,-3.1582271818088477E-4,1.1130408692701646E-4,137.61666666666667,3.1586816364780935E-4,0,2.027576289751093,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
AVAXUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,9.4,9.4,9.4,,1,58.9,0.0,0.0,58.9,0.0,0,0.8866087332143396,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
SOLUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,86.35,86.36,86.35170731707315,1.4512195121981197E-5,41,72.838,1.1580775911992028E-4,4.411594898015222E-5,1.7765365853658535,1.1580546940764369E-4,0,0.48718698447855374,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
ADAUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,0.2494,0.2494,0.2494,,1,23.1,0.0,0.0,23.1,0.0,0,0.8922678014569668,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
SOLUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,86.35,86.36,86.35714285714286,2.380952380954761E-5,7,5.014,-1.1579434923581653E-4,5.650372630804918E-5,0.7162857142857143,1.1579818031436858E-4,0,0.6288055233466101,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
